iter	Passed	Remaining
0	507	507028
1	865	431919
2	1203	399840
3	1580	393428
4	1923	382849
5	2274	376778
6	2611	370460
7	2984	370091
8	3356	369553
9	3725	368816
10	4090	367792
11	4430	364780
12	4782	363133
13	5123	360855
14	5486	360282
15	5848	359668
16	6194	358205
17	6553	357513
18	6902	356373
19	7240	354801
20	7595	354094
21	7944	353147
22	8304	352745
23	8669	352560
24	9015	351616
25	9353	350391
26	9687	349096
27	10027	348112
28	10369	347205
29	10716	346492
30	11065	345890
31	11416	345357
32	11764	344743
33	12138	344878
34	12503	344741
35	12845	343976
36	13179	343017
37	13519	342253
38	13859	341518
39	14191	340600
40	14538	340054
41	14884	339507
42	15229	338952
43	15580	338522
44	15930	338090
45	16269	337415
46	16605	336695
47	16940	335989
48	17296	335696
49	17634	335049
50	17982	334607
51	18389	335248
52	18735	334756
53	19074	334161
54	19457	334314
55	19805	333869
56	20137	333143
57	20529	333424
58	20915	333579
59	21275	333313
60	21609	332640
61	21943	331976
62	22288	331501
63	22648	331233
64	23090	332143
65	23455	331934
66	23827	331800
67	24148	330979
68	24471	330182
69	24828	329859
70	25158	329183
71	25489	328529
72	25800	327632
73	26128	326958
74	26445	326157
75	26819	326063
76	27177	325775
77	27497	325032
78	27869	324903
79	28281	325235
80	28657	325143
81	29022	324906
82	29406	324891
83	29788	324840
84	30175	324835
85	30525	324424
86	30859	323847
87	31180	323139
88	31568	323138
89	31888	322432
90	32209	321741
91	32543	321188
92	32913	320998
93	33240	320377
94	33570	319804
95	33873	318974
96	34200	318380
97	34511	317645
98	34822	316915
99	35170	316531
100	35577	316674
101	36006	316996
102	36389	316910
103	36724	316398
104	37050	315813
105	37368	315163
106	37698	314624
107	38031	314114
108	38350	313486
109	38667	312855
110	38977	312173
111	39294	311546
112	39607	310898
113	39922	310277
114	40249	309748
115	40571	309185
116	40893	308622
117	41215	308068
118	41530	307466
119	41862	306990
120	42160	306271
121	42484	305747
122	42801	305175
123	43106	304528
124	43415	303908
125	43737	303388
126	44064	302903
127	44385	302372
128	44704	301843
129	45022	301304
130	45342	300785
131	45667	300301
132	45993	299821
133	46303	299242
134	46624	298741
135	46935	298179
136	47262	297719
137	47577	297185
138	47896	296683
139	48226	296249
140	48591	296028
141	48937	295693
142	49258	295204
143	49633	295043
144	49994	294792
145	50318	294326
146	50634	293816
147	50944	293275
148	51265	292800
149	51585	292318
150	51928	291967
151	52386	292262
152	52821	292418
153	53218	292357
154	53621	292325
155	53966	291970
156	54286	291488
157	54605	290998
158	54966	290735
159	55357	290628
160	55698	290253
161	56026	289814
162	56449	289867
163	56862	289861
